Age_Group	Interacts_with	Group
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical_Viewed_Functionally
Amino_Acid_Peptide_or_Protein	Interacts_with	Steroid
Amino_Acid_Peptide_or_Protein	Interacts_with	Inorganic_Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Eicosanoid
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Element_Ion_or_Isotope
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Lipid
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical_Viewed_Functionally
Amino_Acid_Peptide_or_Protein	Interacts_with	Inorganic_Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Element_Ion_or_Isotope
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical_Viewed_Functionally
Amino_Acid_Peptide_or_Protein	Interacts_with	Inorganic_Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical_Viewed_Functionally
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical_Viewed_Functionally
Amino_Acid_Peptide_or_Protein	Interacts_with	Steroid
Amino_Acid_Peptide_or_Protein	Interacts_with	Inorganic_Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Eicosanoid
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Element_Ion_or_Isotope
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Hormone
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical_Viewed_Functionally
Amino_Acid_Peptide_or_Protein	Interacts_with	Inorganic_Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Eicosanoid
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Vitamin
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Enzyme
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amino_Acid_Peptide_or_Protein	Interacts_with	Biologically_Active_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Element_Ion_or_Isotope
Amino_Acid_Peptide_or_Protein	Interacts_with	Biomedical_or_Dental_Material
Amino_Acid_Peptide_or_Protein	Interacts_with	Antibiotic
Amino_Acid_Peptide_or_Protein	Interacts_with	Pharmacologic_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Amino_Acid_Peptide_or_Protein	Interacts_with	Hazardous_or_Poisonous_Substance
Amino_Acid_Peptide_or_Protein	Interacts_with	Chemical
Amino_Acid_Peptide_or_Protein	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Amino_Acid_Peptide_or_Protein	Interacts_with	Immunologic_Factor
Amino_Acid_Peptide_or_Protein	Interacts_with	Receptor
Amphibian	Interacts_with	Organism
Amphibian	Interacts_with	Archaeon
Amphibian	Interacts_with	Organism
Amphibian	Interacts_with	Human
Amphibian	Interacts_with	Reptile
Amphibian	Interacts_with	Mammal
Amphibian	Interacts_with	Fish
Amphibian	Interacts_with	Archaeon
Amphibian	Interacts_with	Organism
Amphibian	Interacts_with	Human
Amphibian	Interacts_with	Reptile
Amphibian	Interacts_with	Mammal
Amphibian	Interacts_with	Archaeon
Amphibian	Interacts_with	Organism
Amphibian	Interacts_with	Archaeon
Amphibian	Interacts_with	Organism
Amphibian	Interacts_with	Human
Amphibian	Interacts_with	Archaeon
Amphibian	Interacts_with	Organism
Amphibian	Interacts_with	Human
Amphibian	Interacts_with	Mammal
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Bird
Animal	Interacts_with	Organism
Animal	Interacts_with	Human
Animal	Interacts_with	Reptile
Animal	Interacts_with	Mammal
Animal	Interacts_with	Fish
Animal	Interacts_with	Organism
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Organism
Animal	Interacts_with	Human
Animal	Interacts_with	Reptile
Animal	Interacts_with	Mammal
Animal	Interacts_with	Fish
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Organism
Animal	Interacts_with	Human
Animal	Interacts_with	Reptile
Animal	Interacts_with	Mammal
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Organism
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Bird
Animal	Interacts_with	Organism
Animal	Interacts_with	Amphibian
Animal	Interacts_with	Human
Animal	Interacts_with	Reptile
Animal	Interacts_with	Mammal
Animal	Interacts_with	Vertebrate
Animal	Interacts_with	Fish
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Organism
Animal	Interacts_with	Human
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Organism
Animal	Interacts_with	Human
Animal	Interacts_with	Mammal
Animal	Interacts_with	Archaeon
Animal	Interacts_with	Bird
Animal	Interacts_with	Organism
Animal	Interacts_with	Amphibian
Animal	Interacts_with	Human
Animal	Interacts_with	Reptile
Animal	Interacts_with	Mammal
Animal	Interacts_with	Fish
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Hormone
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Vitamin
Antibiotic	Interacts_with	Immunologic_Factor
Antibiotic	Interacts_with	Enzyme
Antibiotic	Interacts_with	Receptor
Antibiotic	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Hormone
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Vitamin
Antibiotic	Interacts_with	Immunologic_Factor
Antibiotic	Interacts_with	Enzyme
Antibiotic	Interacts_with	Receptor
Antibiotic	Interacts_with	Biologically_Active_Substance
Antibiotic	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Vitamin
Antibiotic	Interacts_with	Immunologic_Factor
Antibiotic	Interacts_with	Receptor
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Vitamin
Antibiotic	Interacts_with	Immunologic_Factor
Antibiotic	Interacts_with	Enzyme
Antibiotic	Interacts_with	Receptor
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Receptor
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Hormone
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Vitamin
Antibiotic	Interacts_with	Immunologic_Factor
Antibiotic	Interacts_with	Enzyme
Antibiotic	Interacts_with	Receptor
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Hazardous_or_Poisonous_Substance
Antibiotic	Interacts_with	Chemical
Antibiotic	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Antibiotic	Interacts_with	Immunologic_Factor
Antibiotic	Interacts_with	Receptor
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Bird
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Reptile
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Fish
Bacterium	Interacts_with	Invertebrate
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Bird
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Amphibian
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Reptile
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Vertebrate
Bacterium	Interacts_with	Fish
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Reptile
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Fish
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Reptile
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Bird
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Amphibian
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Reptile
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Vertebrate
Bacterium	Interacts_with	Fish
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Archaeon
Bacterium	Interacts_with	Bird
Bacterium	Interacts_with	Organism
Bacterium	Interacts_with	Amphibian
Bacterium	Interacts_with	Human
Bacterium	Interacts_with	Reptile
Bacterium	Interacts_with	Mammal
Bacterium	Interacts_with	Fish
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biologically_Active_Substance	Interacts_with	Vitamin
Biologically_Active_Substance	Interacts_with	Immunologic_Factor
Biologically_Active_Substance	Interacts_with	Receptor
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biologically_Active_Substance	Interacts_with	Vitamin
Biologically_Active_Substance	Interacts_with	Immunologic_Factor
Biologically_Active_Substance	Interacts_with	Enzyme
Biologically_Active_Substance	Interacts_with	Receptor
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biologically_Active_Substance	Interacts_with	Receptor
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Hormone
Biologically_Active_Substance	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biologically_Active_Substance	Interacts_with	Vitamin
Biologically_Active_Substance	Interacts_with	Immunologic_Factor
Biologically_Active_Substance	Interacts_with	Enzyme
Biologically_Active_Substance	Interacts_with	Receptor
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biologically_Active_Substance	Interacts_with	Hazardous_or_Poisonous_Substance
Biologically_Active_Substance	Interacts_with	Chemical
Biologically_Active_Substance	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biologically_Active_Substance	Interacts_with	Immunologic_Factor
Biologically_Active_Substance	Interacts_with	Receptor
Biomedical_or_Dental_Material	Interacts_with	Hazardous_or_Poisonous_Substance
Biomedical_or_Dental_Material	Interacts_with	Chemical
Biomedical_or_Dental_Material	Interacts_with	Hormone
Biomedical_or_Dental_Material	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biomedical_or_Dental_Material	Interacts_with	Vitamin
Biomedical_or_Dental_Material	Interacts_with	Immunologic_Factor
Biomedical_or_Dental_Material	Interacts_with	Enzyme
Biomedical_or_Dental_Material	Interacts_with	Receptor
Biomedical_or_Dental_Material	Interacts_with	Neuroreactive_Substance_or_Biogenic_Amine
Biomedical_or_Dental_Material	Interacts_with	Hazardous_or_Poisonous_Substance
Biomedical_or_Dental_Material	Interacts_with	Chemical
Biomedical_or_Dental_Material	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
Biomedical_or_Dental_Material	Interacts_with	Vitamin
Biomedical_or_Dental_Material	Interacts_with	Immunologic_Factor
Biomedical_or_Dental_Material	Interacts_with	Receptor
Biomedical_or_Dental_Material	Interacts_with	Chemical
Biomedical_or_Dental_Material	Interacts_with	Hazardous_or_Poisonous_Substance
Biomedical_or_Dental_Material	Interacts_with	Chemical
Biomedical_or_Dental_Material	Interacts_with	Indicator_Reagent_or_Diagnostic_Aid
